student_i,student_j,college_i,college_j,marks_i,marks_j,marks_diff,outcome_diff,weight
15344,2241,502004_cec,502701_mpc,17.0,18.75,-1.75,14.0,0.9258366511997677
30387,32498,505301_mpc,505801_mpc,36.5,33.5,3.0,26.0,0.7539675625789317
4320,5640,504002_bpc,503102_bpc,25.5,28.75,-3.25,-25.0,0.9245019889549886
7875,25198,513103_mec,512901_mpc,15.0,25.75,-10.75,-18.0,0.8860217534913607
19307,6720,505502_bpc,505102_bpc,45.25,44.25,1.0,25.0,0.9051279092903418
13634,5131,508702_bpc,509201_mpc,35.75,32.5,3.25,2.0,0.8685713318071823
12299,4459,513201_mpc,513202_bpc,38.0,44.5,-6.5,-7.0,0.6928678119927516
1171,2432,507601_mpc,507801_mpc,17.5,8.0,9.5,-5.0,0.9637647078750445
15473,26995,505302_bpc,505702_bpc,25.75,26.25,-0.5,21.0,0.9226259989551876
20471,2558,505802_bpc,505101_mpc,51.0,52.5,-1.5,2.0,0.9288548900839556
17220,8051,504702_bpc,504504_cec,34.0,27.5,6.5,33.0,0.7884562645080128
12711,12040,509302_bpc,509502_bpc,40.75,44.25,-3.5,17.0,0.9077600260577728
7386,16828,503101_mpc,504201_mpc,63.0,71.25,-8.25,-6.0,0.9507996809443339
21247,36186,506102_bpc,506302_bpc,50.75,57.5,-6.75,-3.0,0.9347563810227411
19736,19418,505702_bpc,505302_bpc,46.25,49.0,-2.75,-9.0,0.9035450140733007
12724,26223,513904_cec,513601_mpc,8.0,9.0,-1.0,17.0,0.9618422556656416
38262,32521,504702_bpc,504402_bpc,60.0,54.25,5.75,-1.0,0.9813714381638353
10471,9868,509104_cec,504202_bpc,17.0,16.5,0.5,-8.0,0.8558618810654206
14513,5766,507802_bpc,507602_bpc,27.5,26.0,1.5,10.0,0.9190684938774436
7203,11640,514301_mpc,513201_mpc,56.25,95.5,-39.25,-1.0,0.8426028786845297
22923,9156,511201_mpc,511304_cec,7.25,13.75,-6.5,38.0,0.9597383108605518
4640,4409,503904_cec,503101_mpc,20.0,26.25,-6.25,-17.0,0.8232504911368209
14353,3255,506501_mpc,506801_mpc,42.5,60.0,-17.5,7.0,0.781531312503009
33665,111,513704_cec,511202_bpc,5.5,4.25,1.25,-33.0,0.9500159381966956
14613,18232,508501_mpc,509301_mpc,28.75,30.0,-1.25,-22.0,0.8431265217900371
3546,4495,502702_bpc,503002_bpc,25.0,26.25,-1.25,16.442871,0.9591661415946314
13545,34483,512901_mpc,501601_mpc,102.5,101.25,1.25,-14.0,0.9657512246268427
12289,14000,501903_mec,501502_bpc,30.25,30.75,-0.5,1.0,0.9087762544614081
21416,21298,506702_bpc,506404_cec,19.75,17.75,2.0,-4.0,0.9427415823659833
19607,15873,501502_bpc,502202_bpc,38.75,41.25,-2.5,-1.0,0.8280933194393764
1852,5936,508201_mpc,507501_mpc,29.75,23.75,6.0,-23.0,0.8544152821386691
28425,7290,513903_mec,513904_cec,12.5,11.25,1.25,10.0,0.9114990550212282
8065,14987,503002_bpc,503001_mpc,27.5,8.25,19.25,30.0,0.7414477264828385
33730,28139,501802_bpc,502102_bpc,67.5,58.75,8.75,7.0,0.9752001926743687
38676,7811,513104_cec,513103_mec,31.75,26.25,5.5,40.0,0.5689939008682593
18448,21691,503904_cec,507301_mpc,26.5,28.25,-1.75,-19.0,0.8278990422105773
9670,27182,513104_cec,512902_bpc,11.25,21.25,-10.0,-14.0,0.9468795597304779
2755,12891,507401_mpc,507601_mpc,31.25,33.75,-2.5,37.0,0.9623185493789274
11898,8719,508501_mpc,508701_mpc,27.5,14.25,13.25,-39.0,0.8623984874960137
26117,11211,513404_cec,513104_cec,26.5,22.0,4.5,-44.0,0.8362459367457494
21298,11112,506404_cec,503001_mpc,17.75,15.5,2.25,38.0,0.9210706646105496
16464,34723,511701_mpc,514402_bpc,32.5,25.0,7.5,7.0,0.5161322834652763
2937,12755,506602_bpc,506302_bpc,35.75,24.25,11.5,20.0,0.7426319333889481
11310,28192,511902_bpc,512202_bpc,51.5,57.5,-6.0,-1.0,0.8432321622641901
