,pair_id,pair_bin,student_id,candidate_id_68k,gtot,college_attended,englishmarks_12,gtot_dm,englishmarks_12_dm
77,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_24,2010035250,2010035250,928.0,501802_bpc,86.0,10.25,-2.25
78,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_24,2010012955,2010012955,905.0,501502_bpc,95.0,-12.75,6.75
79,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_20_24,2010013549,2010013549,963.0,501502_bpc,88.0,45.25,-0.25
80,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_25_29,2010059735,2010059735,838.0,501502_bpc,71.0,-49.125,-15.375
81,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_25_29,2010020368,2010020368,865.0,501502_bpc,92.0,-22.125,5.625
82,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_25_29,2010022521,2010022521,881.0,501502_bpc,83.0,-6.125,-3.375
83,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_25_29,2010039326,2010039326,884.0,501502_bpc,78.0,-3.125,-8.375
84,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_25_29,2010024950,2010024950,918.0,501802_bpc,95.0,30.875,8.625
85,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_25_29,2010055098,2010055098,894.0,501502_bpc,86.0,6.875,-0.375
86,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_25_29,2010012732,2010012732,900.0,501802_bpc,91.0,12.875,4.625
87,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_25_29,2010013275,2010013275,917.0,501502_bpc,95.0,29.875,8.625
88,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_34,2010015137,2010015137,907.0,501502_bpc,90.0,-14.5,-0.8333333333333286
89,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_34,2010017143,2010017143,944.0,501502_bpc,90.0,22.5,-0.8333333333333286
90,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_34,2010020159,2010020159,897.0,501802_bpc,90.0,-24.5,-0.8333333333333286
91,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_34,2010022623,2010022623,919.0,501802_bpc,87.0,-2.5,-3.8333333333333286
92,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_34,2010024135,2010024135,904.0,501502_bpc,95.0,-17.5,4.166666666666671
93,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_30_34,2010025371,2010025371,958.0,501502_bpc,93.0,36.5,2.1666666666666714
94,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010015453,2010015453,949.0,501502_bpc,90.0,29.33333333333337,2.444444444444443
95,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010003362,2010003362,858.0,501802_bpc,78.0,-61.66666666666663,-9.555555555555557
96,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010034185,2010034185,925.0,501502_bpc,81.0,5.333333333333371,-6.555555555555557
97,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010020220,2010020220,974.0,501502_bpc,95.0,54.33333333333337,7.444444444444443
98,501502_bpcx501802_bpc.1,501502_bpcx501802_bpc.1__marks_35_39,2010022612,2010022612,945.0,501502_bpc,95.0,25.33333333333337,7.444444444444443
