stream,college_code,coef,std_err
MPC,502801_mpc,2.897849462365592,8.8620501802388
MPC,503001_mpc,-17.89691358024691,7.219285516802912
MPC,503101_mpc,19.83263985205733,4.378145452643723
MPC,503201_mpc,5.846014492753626,7.064619919841195
MPC,503301_mpc,-14.496428571428575,7.808822923414087
MPC,503601_mpc,-6.8592857142857175,5.328026349349062
MPC,503801_mpc,27.808970099667775,7.122355235808741
MPC,504001_mpc,-15.713662849105889,8.374026139457962
MPC,504201_mpc,-35.26405009920635,8.293513206233197
MPC,504401_mpc,2.5384831460674118,2.973664022514736
MPC,504701_mpc,-2.75518292682926,3.3563270379602455
MPC,505101_mpc,17.7545188391855,4.403240846762006
MPC,505301_mpc,-25.929494128274616,6.843557860576914
MPC,505401_mpc,-14.968973359324233,4.33971489798517
MPC,505501_mpc,24.903938191438204,5.4656848530883595
MPC,505601_mpc,-14.06196478591437,5.020144549204327
MPC,505701_mpc,-16.126356589147285,4.831780671142893
MPC,505801_mpc,6.217015468607823,3.7156958280848094
MPC,505901_mpc,13.25409171075838,4.537855339265435
MPC,506001_mpc,-7.044435091657317,4.538325919785647
MPC,506101_mpc,16.612394957983177,6.15152958359463
MPC,506201_mpc,3.187196137196121,4.004912881289398
MPC,506301_mpc,-17.15531505531508,7.367328125478913
MPC,506501_mpc,13.138983653162757,6.404071591439577
MPC,506601_mpc,26.44301587301587,8.44690512814538
MPC,506701_mpc,-4.956020408163266,6.356396584205618
MPC,506801_mpc,-7.747912589693408,3.6498013886586977
MPC,507001_mpc,-8.950111607142853,7.2055790632808385
MPC,507201_mpc,-2.9657434402332337,5.747025911587681
MPC,507301_mpc,-7.889106019766393,2.9709185519783867
MPC,507401_mpc,-9.381620718462836,5.461826806314512
MPC,507501_mpc,14.675218253968259,4.64074454449825
MPC,507601_mpc,-26.036086488467447,5.095085375888661
MPC,507701_mpc,15.71051660757542,4.939646526392032
MPC,507801_mpc,33.01479828042328,6.8986685172577795
MPC,508001_mpc,-24.95514294733045,6.0153251399585494
MPC,508101_mpc,-19.731006399069223,4.7310465047557475
MPC,508201_mpc,21.547364131852078,5.376887055552128
MPC,508301_mpc,5.912588449034226,3.365764613160516
MPC,508401_mpc,29.614655172413794,5.27528408433883
MPC,508501_mpc,-10.218331371009945,3.679695850190103
MPC,508701_mpc,-3.8822867608581912,4.044073598232015
MPC,508801_mpc,1.128198344865016,4.068624774989898
MPC,509001_mpc,11.459674558836573,4.156029021032116
MPC,509201_mpc,-19.53012513801987,5.795029560906707
MPC,509301_mpc,25.540238095238095,5.034511988390062
MPC,509401_mpc,-7.477721088435371,3.382634047798766
MPC,509501_mpc,-8.508301445578226,6.174789266295083
MPC,510101_mpc,4.417545787545785,5.796353656901307
MPC,511201_mpc,-0.054545454545451566,1.2544495075192459
MPC,511401_mpc,0.06521739130435389,1.5030740226725643
MPC,511701_mpc,-11.673076923076934,4.843847023808196
MPC,511801_mpc,14.877450980392158,6.397394885765742
MPC,511901_mpc,-5.070680272108845,4.517386828474499
MPC,512201_mpc,-0.45105820105819694,4.0986319064591
MPC,512401_mpc,1.4361762615493965,3.021205351610737
MPC,512501_mpc,0.5106060606060515,3.2925371095112252
MPC,512601_mpc,4.284599156118148,3.876308904610874
MPC,512701_mpc,-4.9155982905982905,3.780486846994233
MPC,512801_mpc,12.409696969696977,5.566174746091396
MPC,512901_mpc,-10.664583333333326,4.894375616550295
MPC,513201_mpc,-8.43769498715119e-15,7.618522979136495e-15
MPC,513601_mpc,8.539869281045753,5.0273823889666875
MPC,514001_mpc,-9.488888888888887,5.795120060824442
MPC,514201_mpc,-0.1610062893081552,2.5167089142386563
MPC,514301_mpc,25.28467000835421,9.111829501428145
MPC,514401_mpc,-4.795000000000005,9.560647157020265
MPC,514501_mpc,-24.9885238095238,8.54651652981151
MPC,514601_mpc,37.15660377358492,12.586458068635093
MPC,514701_mpc,-3.8162661326212675,4.69831368894579
