specification,college_code,value_added,std_error,t_value,p_value,ci_lower,ci_upper,sig,baseline_college
attempt_1,506702_bpc,-8.280159809250573,1.500542054642289,-5.518112460516452,3.4266013419946056e-08,-11.221168193637194,-5.339151424863953,***,501502_bpc
attempt_1,507702_bpc,-8.289924755763897,1.7051009992779849,-4.861837955214511,1.1630081331079064e-06,-11.631861304352004,-4.94798820717579,***,501502_bpc
attempt_1,509001_mpc,-8.294486526318424,1.4522331426597985,-5.711539203083384,1.1195889849258125e-08,-11.140811183087049,-5.448161869549801,***,501502_bpc
attempt_1,509402_bpc,-8.337650020263686,1.4217238771265641,-5.864465072581358,4.505829270365402e-09,-11.124177615392401,-5.551122425134971,***,501502_bpc
attempt_1,505802_bpc,-8.361195955952605,1.4614284779427347,-5.721248820689968,1.0574390064127559e-08,-11.225543138701553,-5.496848773203656,***,501502_bpc
attempt_1,507202_bpc,-8.36350902228533,1.6859466984899816,-4.960719713011158,7.02324713227924e-07,-11.667903831179903,-5.059114213390757,***,501502_bpc
attempt_1,506001_mpc,-8.565088016177382,1.555455234859052,-5.506483133828992,3.6607301770776085e-08,-11.613724256065415,-5.516451776289349,***,501502_bpc
attempt_1,513202_bpc,-8.572554709073604,2.8808963700432733,-2.9756553544287456,0.0029236322517976632,-14.219007837550595,-2.9261015805966117,**,501502_bpc
attempt_1,509301_mpc,-8.666989832233963,1.4238640460244152,-6.086950405435934,1.1508159867147921e-09,-11.457712081323297,-5.876267583144627,***,501502_bpc
attempt_1,504202_bpc,-8.667937149641228,1.7011992892848753,-5.095192082571892,3.4838784074087787e-07,-12.00222648716472,-5.333647812117736,***,501502_bpc
attempt_1,508002_bpc,-9.072052498770834,1.5645741097572088,-5.798416605640137,6.694397877789691e-09,-12.13856140503878,-6.005543592502887,***,501502_bpc
attempt_1,505204_cec,-9.101711169195394,1.488714026924294,-6.113807624960496,9.728156881938608e-10,-12.019537045246603,-6.183885293144185,***,501502_bpc
attempt_1,502701_mpc,-9.109551978100423,1.3910982032439287,-6.548460746234654,5.8133132180876795e-11,-11.836054355416904,-6.383049600783943,***,501502_bpc
attempt_1,507302_bpc,-9.150085431621456,1.5571951369955659,-5.876004371087058,4.202872312693663e-09,-12.202131817033681,-6.098039046209231,***,501502_bpc
attempt_1,509502_bpc,-9.151760578025746,1.5072398208287585,-6.0718675631815735,1.264311843561892e-09,-12.105896342914717,-6.197624813136775,***,501502_bpc
attempt_1,509501_mpc,-9.163004479072118,1.3788723345214644,-6.6452885083462965,3.026237085894674e-11,-11.865544594012853,-6.460464364131383,***,501502_bpc
attempt_1,502004_cec,-9.23361857237988,1.0186783958151318,-9.064311769360017,1.2539333642898633e-19,-11.230191540006576,-7.237045604753185,***,501502_bpc
attempt_1,501904_cec,-9.266935404264926,1.5646968370836392,-5.922511750926209,3.1706114216142142e-09,-12.333684851672595,-6.200185956857256,***,501502_bpc
attempt_1,508402_bpc,-9.32798200092416,1.4876930589135493,-6.270098489090427,3.608198052419869e-10,-12.243806816444941,-6.412157185403379,***,501502_bpc
attempt_1,509202_bpc,-9.451906344359578,1.453316966447775,-6.5036785247626385,7.837930407460297e-11,-12.300355256718223,-6.603457432000933,***,501502_bpc
attempt_1,506002_bpc,-9.531730766818518,1.6191287274999415,-5.886950558610764,3.9338633163341735e-09,-12.70516475905257,-6.358296774584465,***,501502_bpc
attempt_1,512602_bpc,-9.548397319462694,1.8942832346452738,-5.04063866734836,4.639807860700945e-07,-13.261124235885468,-5.835670403039921,***,501502_bpc
attempt_1,507602_bpc,-9.61274931712062,1.7423175709886543,-5.517219981697135,3.4440422347501955e-08,-13.027629005889692,-6.197869628351549,***,501502_bpc
attempt_1,514602_bpc,-9.983089893069458,1.7473135030408529,-5.713393661581547,1.1074508724667635e-08,-13.407761428730048,-6.558418357408868,***,501502_bpc
attempt_1,502202_bpc,-10.045899645512046,1.0678259137527857,-9.407806568588098,5.065980231190123e-21,-12.13879997822608,-7.952999312798012,***,501502_bpc
attempt_1,508903_mec,-10.10988949155386,1.591943160881936,-6.35065983508669,2.143933195811602e-10,-13.230040752317308,-6.989738230790412,***,501502_bpc
attempt_1,508001_mpc,-10.28256784643855,1.5758325897647927,-6.525165117935095,6.79266619135218e-11,-13.371142968042026,-7.193992724835074,***,501502_bpc
attempt_1,508401_mpc,-10.298659072422025,1.4514002378874535,-7.095671341085048,1.2872506070203008e-12,-13.143351265834301,-7.453966879009749,***,501502_bpc
attempt_1,501903_mec,-10.547104866483988,1.435768501420663,-7.34596479589004,2.042801417908701e-13,-13.361159419405531,-7.733050313562443,***,501502_bpc
attempt_1,506301_mpc,-10.624465958794708,1.6238268365325683,-6.542856491694407,6.035474164187599e-11,-13.807108075528152,-7.441823842061265,***,501502_bpc
attempt_1,502801_mpc,-10.665352289144607,1.3881734404245136,-7.683011343224565,1.5539182368809255e-14,-13.386122236671712,-7.944582341617503,***,501502_bpc
