college_code,value_added,std_error,p_value
511701_mpc,-2.434615673555834,0.8029512023367666,0.0024287142684857807
511702_bpc,-4.763328109890111,1.114306412019524,1.9139291111534856e-05
511801_mpc,2.3217342817576667,0.646737451149085,0.00033078226761643114
511802_bpc,4.742815764119601,0.9295992756362582,3.3608225496360654e-07
511901_mpc,0.14146947216081673,0.8602384647023714,0.8693739249840577
511902_bpc,2.811536428869296,0.890830558943658,0.0015990258428018266
512104_cec,-1.111666883745213,0.5177734368034529,0.03179215690708271
512201_mpc,-0.1379694932750697,0.7731585848482679,0.8583702515542517
512202_bpc,-0.31986049550264567,0.8142364386759746,0.6944414210947354
512401_mpc,-2.0597896529888553,0.8699980153870794,0.017904862457325397
512402_bpc,-2.6819542983936016,0.8991881770217536,0.002857742535019677
512501_mpc,-2.700364676503626,1.0093750058132294,0.007466599771150243
512502_bpc,-6.626316434859815,1.4615960458548949,5.798217093725433e-06
512601_mpc,4.798716538307371,1.0022206427808327,1.683812440610087e-06
512602_bpc,7.4565561127453535,1.5955773005783485,2.964483582481559e-06
512701_mpc,-0.2513584313770539,0.732722755484631,0.7315630115562934
512702_bpc,-1.786598277067815,1.2468478331258015,0.1518887057510197
512801_mpc,-1.202627084145022,0.9016778436807644,0.1822806176128009
512802_bpc,-3.175373443269693,0.8285332003914114,0.00012683517874389645
512901_mpc,2.9119685208829877,1.0667431600106485,0.006337761694269356
512902_bpc,2.0050472188723956,0.9667046771861438,0.03806953973245938
513103_mec,-0.8369263028832687,0.5214345830742763,0.10848376150425522
513104_cec,-4.180620599958475,0.7234149632749016,7.5142514505725e-09
513201_mpc,-0.1097910592808552,1.4149848804429153,0.9381528578853391
513202_bpc,4.226855742296919,2.0155504142101544,0.03598274943891756
513403_mec,0.895349889212828,0.8871890639125356,0.3128794368565637
513404_cec,-1.409791457431458,0.8424502386797474,0.0942403516759437
513503_mec,2.025541570912718,0.5930695138589511,0.0006369946947569287
513504_cec,0.09466523927606155,0.5090482988659025,0.8524720969682962
513601_mpc,1.5753096551853931,0.7448371715644062,0.034432346091712036
513602_bpc,-1.7806121316146544,0.980371982425452,0.06933022987373004
513704_cec,-1.9619640570528416,0.5317453947391458,0.00022454675296049346
513903_mec,2.467930656772872,0.5934773824066412,3.204506544413529e-05
513904_cec,1.036896986084855,0.5440723658171809,0.05667523543570945
514001_mpc,0.7702829346846837,0.8624050210154767,0.3717607755147493
514002_bpc,-0.9029450900383152,0.6461804008585348,0.16230606456952545
514201_mpc,1.6907689244186046,0.5219572833450141,0.0011982934750750982
514202_bpc,0.7739947725769581,0.4910355575373271,0.11496821136602253
514301_mpc,1.97210181902924,0.9019482142594245,0.02877968896892798
514302_bpc,3.2935490150639533,1.3373874036417197,0.013790528998134806
514401_mpc,2.883778664648908,1.8867336195385243,0.1264007614108653
514402_bpc,3.201484962919596,1.6040503448418997,0.04594746396287712
514501_mpc,-8.47009668190837,1.4436618509925319,4.435050163340792e-09
514502_bpc,-4.080915281524031,1.641066554282383,0.012891749564132242
514601_mpc,3.8725656153023005,0.8922402636111266,1.4230632388776911e-05
514602_bpc,2.019707936334002,0.7296997912617377,0.00564254343708512
514701_mpc,0.9923714444220592,0.6162887327979355,0.10734594119414596
514702_bpc,-4.0478187910284165,0.8733321694921906,3.570873026021919e-06
514801_mpc,0.668917878746253,0.6581837862317087,0.3094824282216443
514802_bpc,-0.07936801516404106,0.5638036461129171,0.8880497156060891
514901_mpc,-0.5230996192435011,0.5873044419219664,0.3731015078975305
514902_bpc,-1.7978901779465575,0.6905845679008091,0.009229549075577997
515001_mpc,-1.9720847672203274,1.0268205085149038,0.05478543612073059
515002_bpc,-0.5446008270064571,0.4089775467865346,0.18298657973743515
