,pair_id,pair_bin,student_id,candidate_id_68k,gtot,college_attended,englishmarks_12
131,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010020368,2010020368,865.0,501502_BPC,92.0
132,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010022521,2010022521,881.0,501502_BPC,83.0
133,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010039326,2010039326,884.0,501502_BPC,78.0
134,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010055098,2010055098,894.0,501502_BPC,86.0
135,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010011558,2010011558,834.0,501502_BPC,83.0
136,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010011706,2010011706,705.0,501903_MEC,96.0
137,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010012955,2010012955,905.0,501502_BPC,95.0
138,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010013135,2010013135,910.0,501502_BPC,91.0
139,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010013273,2010013273,654.0,501903_MEC,81.0
140,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010013275,2010013275,917.0,501502_BPC,95.0
141,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010013549,2010013549,963.0,501502_BPC,88.0
142,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_20_29,2010013622,2010013622,935.0,501502_BPC,90.0
143,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010015453,2010015453,949.0,501502_BPC,90.0
144,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010015662,2010015662,940.0,501502_BPC,91.0
145,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010045717,2010045717,895.0,501502_BPC,80.0
146,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010017143,2010017143,944.0,501502_BPC,90.0
147,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010048071,2010048071,643.0,501903_MEC,70.0
148,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010034185,2010034185,925.0,501502_BPC,81.0
149,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010019918,2010019918,878.0,501502_BPC,88.0
150,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010020220,2010020220,974.0,501502_BPC,95.0
151,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010021148,2010021148,708.0,501903_MEC,96.0
152,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010022160,2010022160,793.0,501903_MEC,98.0
153,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010022612,2010022612,945.0,501502_BPC,95.0
154,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010022924,2010022924,493.0,501903_MEC,72.0
155,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010024135,2010024135,904.0,501502_BPC,95.0
156,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010010830,2010010830,951.0,501502_BPC,93.0
157,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010025371,2010025371,958.0,501502_BPC,93.0
158,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010011311,2010011311,895.0,501502_BPC,94.0
159,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_30_39,2010012843,2010012843,861.0,501502_BPC,81.0
160,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010000038,2010000038,942.0,501502_BPC,90.0
161,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010044124,2010044124,929.0,501502_BPC,87.0
162,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010045268,2010045268,544.0,501903_MEC,70.0
163,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010030929,2010030929,905.0,501502_BPC,83.0
164,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010017343,2010017343,883.0,501502_BPC,85.0
165,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010003355,2010003355,943.0,501502_BPC,93.0
166,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010003431,2010003431,919.0,501502_BPC,77.0
167,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010017962,2010017962,939.0,501502_BPC,94.0
168,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010018096,2010018096,911.0,501502_BPC,96.0
169,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010032613,2010032613,641.0,501903_MEC,86.0
170,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010019872,2010019872,870.0,501502_BPC,83.0
171,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010021740,2010021740,946.0,501502_BPC,88.0
172,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010022398,2010022398,929.0,501502_BPC,95.0
173,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010023040,2010023040,922.0,501502_BPC,91.0
174,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010009694,2010009694,937.0,501502_BPC,90.0
175,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010010214,2010010214,961.0,501502_BPC,94.0
176,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010010983,2010010983,901.0,501502_BPC,86.0
177,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010012197,2010012197,949.0,501502_BPC,77.0
178,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010012695,2010012695,979.0,501502_BPC,94.0
179,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010012748,2010012748,955.0,501502_BPC,93.0
180,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010012779,2010012779,906.0,501502_BPC,84.0
181,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010012791,2010012791,919.0,501502_BPC,86.0
182,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010013003,2010013003,909.0,501502_BPC,71.0
183,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010013034,2010013034,918.0,501502_BPC,92.0
184,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010013424,2010013424,964.0,501502_BPC,90.0
185,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010042864,2010042864,927.0,501502_BPC,85.0
186,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_40_49,2010028173,2010028173,934.0,501502_BPC,88.0
187,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_60_69,2010002852,2010002852,958.0,501502_BPC,95.0
188,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_60_69,2010022484,2010022484,965.0,501502_BPC,92.0
189,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_60_69,2010011731,2010011731,812.0,501903_MEC,93.0
190,501502_bpcx501903_mec.1,501502_bpcx501903_mec.1__marks_60_69,2010042868,2010042868,951.0,501502_BPC,87.0
