college_stream,value_added,std_error,t_value,p_value,ci_lower,ci_upper,college_code,stream,sig
509105_hec_hec,-2.5665049348820554,0.9411429788456852,-2.7270085338466656,0.006391138613998917,-4.41111127772234,-0.7218985920417704,509105_hec,hec,**
505301_mpc_mpc,-2.65614444856771,0.8539326150660151,-3.110484834172039,0.0018678048688750733,-4.329821619321205,-0.9824672778142147,505301_mpc,mpc,**
514401_mpc_mpc,-2.6866129571837485,2.117693500974561,-1.2686505180978132,0.20456573797239275,-6.837215949388426,1.4639900350209292,514401_mpc,mpc,
514701_mpc_mpc,-2.7940400593993266,0.7719400902677284,-3.619503760233884,0.00029516852210758596,-4.307014834546672,-1.2810652842519807,514701_mpc,mpc,***
506202_bpc_bpc,-2.8900568630064845,0.9128613516880987,-3.165931888410084,0.0015458698634079114,-4.67923223519371,-1.100881490819259,506202_bpc,bpc,**
511604_cec_cec,-2.890093882598818,1.246957427418894,-2.3177165627707836,0.02046473027534302,-5.334085530594568,-0.4461022346030674,511604_cec,cec,*
503301_mpc_mpc,-3.0396476760965783,1.1240764932128764,-2.7041288510611468,0.006848372750475251,-5.2427971186618985,-0.8364982335312581,503301_mpc,mpc,**
504201_mpc_mpc,-3.2059766091526276,1.2016440789829146,-2.667991849854745,0.007630610909969315,-5.5611557261949445,-0.8507974921103107,504201_mpc,mpc,**
508202_bpc_bpc,-3.280950393005123,0.776790837738442,-4.2237243716176165,2.402979066011375e-05,-4.803432458493166,-1.7584683275170794,508202_bpc,bpc,***
513201_mpc_mpc,-3.9804581113964383,1.156375976004369,-3.4421833330973657,0.000577039029307201,-6.246913376952355,-1.7140028458405214,513201_mpc,mpc,***
511401_mpc_mpc,-4.106772646330652,0.7421032999829809,-5.533963595667659,3.1307398041506995e-08,-5.561268387105619,-2.652276905555686,511401_mpc,mpc,***
502102_bpc_bpc,-4.109563523689555,0.7563515850063975,-5.433403730693306,5.528911831954479e-08,-5.59198538995188,-2.627141657427231,502102_bpc,bpc,***
504702_bpc_bpc,-4.293406356367755,0.6805563393914416,-6.308671461655842,2.8144082429576636e-10,-5.627272271025398,-2.9595404417101117,504702_bpc,bpc,***
506502_bpc_bpc,-4.349557633363069,0.8443579651572477,-5.1513194792365535,2.5866012571895875e-07,-6.004468835130801,-2.694646431595338,506502_bpc,bpc,***
501602_bpc_bpc,-4.370709901825654,0.6849120710312855,-6.381417537647702,1.7545619481779198e-10,-5.7131128936237126,-3.0283069100275952,501602_bpc,bpc,***
504503_mec_mec,-4.565146510911845,1.6143835879781498,-2.8277954167195314,0.00468697486557113,-7.729280200581568,-1.4010128212421211,504503_mec,mec,**
508301_mpc_mpc,-4.704434289881935,0.9532025442877882,-4.935398376844435,7.998732125253888e-07,-6.572676946657946,-2.8361916331059245,508301_mpc,mpc,***
509302_bpc_bpc,-4.802626041111115,0.9740311262690348,-4.9306699874235775,8.194807187524331e-07,-6.711691968419409,-2.8935601138028204,509302_bpc,bpc,***
512901_mpc_mpc,-4.83374987899408,0.9867544211172515,-4.898635137120615,9.650465575452547e-07,-6.767753005969563,-2.8997467520185976,512901_mpc,mpc,***
504504_cec_cec,-5.0395877299891225,1.6791024780837347,-3.001358044412227,0.0026877832605088593,-8.330568113385198,-1.748607346593047,504504_cec,cec,**
511603_mec_mec,-5.105065874369606,1.783349343182896,-2.8626280621261557,0.004201434373525619,-8.600366358861242,-1.609765389877969,511603_mec,mec,**
514801_mpc_mpc,-5.148321336947983,0.8960040768198522,-5.74586820544466,9.14505187448262e-09,-6.904457057515954,-3.3921856163800133,514801_mpc,mpc,***
