candidate_id_68k,marks,gtot,allotted_JC_code,pair_bin_1,pair_bin_2,pair_bin_3,pair_bin_4,pair_bin_5,pair_bin_6,pair_bin_7,pair_bin_8,pair_bin_9,pair_bin_10,pair_bin_11,pair_bin_12,pair_bin_13,pair_bin_14,pair_bin_15,pair_bin_16,pair_bin_17,pair_bin_18,pair_bin_19,englishmarks_12,marks12th,dob_year,age,female,social_category,region,minority,religion,english_medium_10,english_medium_9,school_type_9,school_type_10,type,appliedforJC,result,address_pincode,address_mandalname,address_district,coll_code_went,got_into_JC,TSJC,intermediatecollegecode,sixdigitcode,coll_code,institution,is_income,maxtot,th_mrk,pr_mrk,tot_mrk
2010000056,53.25,862.0,,,,,,,,,,,,,,,,,,,,,93.0,86.2,2004.0,16.0,0.0,BC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,,1.0,1,509334,HANWADA,MAHBUBNAGAR,56234.0,0.0,0.0,,,56234.0,,Y,1000,075,0,075
2010000058,(null),587.0,,,,,,,,,,,,,,,,,,,,,78.0,58.7,2004.0,16.0,0.0,OC/EBC,MAHABOOBNAGAR,0.0,HINDU,1.0,1.0,GR,GR,,1.0,F,509301,JADCHERLA,MAHBUBNAGAR,56227.0,0.0,0.0,,,56227.0,,Y,1000,096,0,096
2010000063,26.25,676.0,,,,,,,,,,,,,,,,,,,,,75.0,67.6,2004.0,16.0,1.0,SC,RR&HYD,0.0,HINDU,1.0,1.0,GR,GR,,1.0,1,509216,FAROOQNAGAR,RANGAREDDY(SHAMSHABAD),58298.0,0.0,0.0,,,58298.0,,Y,1000,088,0,088
2010000066,25.5,838.0,,,,,,,,,,,,,,,,,,,,,74.0,83.8,2005.0,15.0,0.0,BC,MAHABOOBNAGAR,0.0,HINDU,0.0,0.0,GO,GO,,1.0,1,509135,WADDEPALLE,JOGULAMBA(GADWAL),53008.0,0.0,0.0,,,53008.0,,Y,1000,094,0,094
2010000067,52.5,877.0,,,,,,,,,,,,,,,,,,,,,85.0,87.7,2005.0,15.0,1.0,BC,MEDAK,0.0,HINDU,1.0,1.0,GR,GR,,1.0,1,502032,RAMACHANDRAPURAM,SANGAREDDY,49032.0,0.0,0.0,,,49032.0,,Y,1000,090,0,090
2010000069,50,879.0,505302_BPC,505302_bpcx505101_mpc.1__marks_50_59,505302_bpcx505802_bpc.1__marks_50_59,505302_bpcx505902_bpc.1__marks_50_59,,,,,,,,,,,,,,,,,81.0,87.9,2003.0,17.0,1.0,SC-CONVERTED CHRISTIAN,MAHABOOBNAGAR,1.0,CHRISTIAN,1.0,1.0,GR,GR,Science,1.0,1,509210,NARAYANPET,MAHBUBNAGAR,64026.0,1.0,1.0,64026.0,505301,64026.0,narayanpet,Y,1000,086,0,086
2010000070,25,909.0,,,,,,,,,,,,,,,,,,,,,97.0,90.9,2004.0,16.0,1.0,BC,KHAMMAM,0.0,HINDU,1.0,1.0,GR,GR,,1.0,1,507117,PINAPAKA,BHADRADRI (KOTHAGUDEM),44266.0,0.0,0.0,,,44266.0,,Y,1000,096,0,096
2010000072,(null),817.0,,,,,,,,,,,,,,,,,,,,,70.0,81.7,2003.0,17.0,0.0,BC,WARANGAL,0.0,HINDU,0.0,0.0,GO,GO,,1.0,1,506324,NARSIMHULAPET,MAHABUBABAD,43250.0,0.0,0.0,,,43250.0,,Y,1000,099,0,099
2010000073,71.5,897.0,509202_BPC,509202_bpcx508702_bpc.1__marks_70_79,509202_bpcx508801_mpc.1__marks_70_79,509202_bpcx509401_mpc.1__marks_70_79,,,,,,,,,,,,,,,,,85.0,89.7,2004.0,16.0,1.0,SC,NALGONDA,0.0,HINDU,1.0,1.0,TMREIS,TMREIS,Science,1.0,1,508213,SURYAPET,SURYAPET,52024.0,1.0,1.0,52024.0,509201,52024.0,"tswrs/jc(g)
jajireddygudem",Y,1000,081,0,081
2010000079,22.5,323.0,,,,,,,,,,,,,,,,,,,,,35.0,32.3,2002.0,18.0,0.0,SC,KARIMNAGAR,0.0,HINDU,1.0,1.0,MODEL,MODEL,,1.0,F,505416,DHARMARAM,PEDDAPALLI,34001.0,0.0,0.0,,,34001.0,,Y,1000,097,0,097
